Lon	Lat
-47.87270262	-15.75583048
-47.8718445	-15.75505437
-47.87192209	-15.75500509
-47.87185512	-15.75495322
-47.87211689	-15.75472755
-47.87226329	-15.75469754
-47.87240254	-15.75451484
-47.8725787	-15.75466178
-47.87268511	-15.75454748
-47.87280691	-15.75459746
-47.87286136	-15.75452177
-47.87298848	-15.75451763
-47.87305573	-15.75455524
-47.87325692	-15.75435459
-47.8734951	-15.7543177
-47.87351829	-15.75455345
-47.87364263	-15.75467644
-47.87358317	-15.75481448
-47.87355581	-15.75493372
-47.87322233	-15.75528251
-47.87311453	-15.7554087
-47.87313409	-15.75548956
-47.87289689	-15.75555158
-47.87276861	-15.75561653
-47.87270262	-15.75583048
