id	Area	lon	lat	ele
D01	geo	-47.87207496	-15.75507296	1025.550293
D02	geo	-47.87253496	-15.75530598	1025.450439
D03	geo	-47.872656	-15.75434801	1025.005615
D04	co	-47.85628899	-15.76161596	1005.890747
D05	co	-47.85614801	-15.76147699	1005.32312
D06	co	-47.85450599	-15.76232901	1008.667725
D07	co	-47.85474001	-15.76200203	992.838623
D08	co	-47.85533002	-15.76182098	1003.671509
D09	co	-47.85507001	-15.76146198	1008.522583
D10	geo	-47.87289396	-15.75443996	1025.854614
D11	co	-47.85280698	-15.76372703	1005.679199
D12	co	-47.85283799	-15.76422097	1006.477539
D13	geo	-47.87323301	-15.75532601	1029.611572
D14	geo	-47.87275298	-15.75511403	1029.29895
D15	geo	-47.87299002	-15.75499602	1033.030029
D16	geo	-47.87302304	-15.75521101	1034.182617
D17	geo	-47.87414999	-15.75473333	NA
D18	geo	-47.87405997	-15.75489099	1036.028564
D19	geo	-47.87350098	-15.75401198	1036.7677
D20	geo	-47.874196	-15.75365298	1038.052124
D21	geo	-47.87249699	-15.75426302	1034.928223
D22	geo	-47.87355001	-15.75492402	1031.286743
D23	geo	-47.87262096	-15.75517698	1024.166626
D24	geo	-47.87382804	-15.75337102	1027.841919
D25	geo	-47.87410397	-15.75289099	1028.211182
D26	geo	-47.87440597	-15.75231599	1028.87854
D27	geo	-47.87321499	-15.75520699	1004.274475
D28	geo	-47.87322496	-15.75532601	1027.455078
D29	geo	-47.873591	-15.75499903	1027.557251
D30	geo	-47.87383198	-15.75495302	1029.447754
D31	geo	-47.87399702	-15.75562298	1032.500488
D32	geo	-47.87411696	-15.75563304	1032.942383
D33	geo	-47.87455098	-15.75502502	1032.381836
D34	geo	-47.87398797	-15.75386597	1027.997681
D35	geo	-47.87178797	-15.75403201	1023.9021
D36	geo	-47.87262901	-15.75279904	1025.513306
D37	geo	-47.87270897	-15.75483802	1024.999634
D38	geo	-47.87271098	-15.755094	975.453979
D39	geo	-47.87287099	-15.75380998	1022.64386
D40	geo	-47.87498198	-15.754489	1033.465698
D41	geo	-47.87408897	-15.75478303	1032.878418
D42	geo	-47.873907	-15.75406102	1030.317871
D43	geo	-47.87294199	-15.754101	1025.934448
D44	geo	-47.87385302	-15.75250399	1026.346313
D45	co	-47.857757	-15.76121497	1009.669434
D46	co	-47.85789496	-15.76086201	1007.946167
D47	co	-47.85711	-15.76077601	1008.009827
D48	co	-47.85677497	-15.76092797	1007.513611
D49	geo	-47.87267704	-15.754289	1025.434204
D50	geo	-47.87297702	-15.75419596	1025.203003
D51	geo	-47.87312698	-15.75432203	1026.830322
D52	geo	-47.87307501	-15.75425003	1025.911987
D53	geo	-47.872987	-15.75448397	1026.903198
D54	geo	-47.87307501	-15.755165	1028.839722
D55	geo	-47.87168998	-15.75633402	1029.626465
D56	co	-47.85756203	-15.76124699	1007.287415
D57	co	-47.85698502	-15.76100601	1006.682007
D58	co	-47.85721402	-15.76059404	1005.476501
D59	co	-47.85721201	-15.760128	1007.444153
D60	co	-47.85739196	-15.759983	1006.740112
D61	geo	-47.87253899	-15.75498504	1026.281982
