ninho	Latitude	Longitude
281	-15.75489099	-47.87194999
282	-15.75423502	-47.87208402
283	-15.75491002	-47.87283696
284	-15.75523498	-47.87244603
285	-15.76074097	-47.85943698
286	-15.76011099	-47.85990603
287	-15.76006497	-47.85977402
288	-15.75999398	-47.85976899
289	-15.75988602	-47.85880197
290	-15.75541997	-47.87309898
291	-15.75505301	-47.87263798
292	-15.75475596	-47.87219399
293	-15.75488202	-47.87307601
294	-15.75478798	-47.87310996
295	-15.75429303	-47.87296797
296	-15.75505896	-47.872455
297	-15.760918	-47.85869803
298	-15.76026002	-47.85838002
299	-15.76124498	-47.85769598
300	-15.76122997	-47.85810996
301	-15.76062698	-47.857873
302	-15.76021702	-47.85796001
303	-15.76002499	-47.85804098
304	-15.76108798	-47.85639997
305	-15.76124297	-47.85712701
306	-15.76055699	-47.85664304
307	-15.76126803	-47.85583796
308	-15.76105596	-47.85542599
309	-15.76315496	-47.85376
310	-15.76293703	-47.85399796
311	-15.75528704	-47.87316
312	-15.75541302	-47.87270796
313	-15.76105404	-47.85707999
314	-15.76046999	-47.85842503
315	-15.76256102	-47.85399897
316	-15.76097097	-47.85880297
317	-15.75523197	-47.87276203
318	-15.75479703	-47.87226699
319	-15.76119401	-47.85873198
320	-15.76008501	-47.85838799
321	-15.76126501	-47.85658303
322	-15.76086	-47.85788298
323	-15.761336	-47.85632
324	-15.76025197	-47.85808297
325	-15.75456401	-47.87261199
326	-15.75510196	-47.87342001
327	-15.75513801	-47.87260001
328	-15.75464398	-47.87243396
329	-15.76309201	-47.85380099
330	-15.76099	-47.85798498
331	-15.76075799	-47.85860499
332	-15.76082898	-47.85875503
333	-15.75433997	-47.87220304
334	-15.76104599	-47.85632302
335	-15.76360901	-47.85354903
336	-15.76008601	-47.85942399
337	-15.76003002	-47.85952499
338	-15.76022297	-47.85882896
339	-15.76018098	-47.85769103
340	-15.76003597	-47.85963102
341	-15.76332302	-47.853601
342	-15.76026396	-47.85778298
343	-15.76031299	-47.85845001
344	-15.76039304	-47.85869502
345	-15.76021903	-47.85953999
346	-15.76010898	-47.85936104
347	-15.76282999	-47.85362396
348	-15.76108203	-47.85649703
349	-15.76066302	-47.85771601
350	-15.76245298	-47.85414901
351	-15.76230797	-47.85428002
352	-15.75391802	-47.87181403
353	-15.75376103	-47.871938
354	-15.75422497	-47.87205501
355	-15.75429403	-47.87318003
356	-15.75395398	-47.87329302
357	-15.75390302	-47.87380801
358	-15.75343497	-47.87411797
359	-15.75330799	-47.87443204
360	-15.75317102	-47.87390197
361	-15.75302602	-47.87439499
362	-15.751469	-47.87486404
363	-15.75345098	-47.87417899
364	-15.75514597	-47.87257704
365	-15.754274	-47.87303302
366	-15.75407996	-47.87330098
367	-15.75268496	-47.87302203
368	-15.75421901	-47.87320702
369	-15.75501597	-47.87225199
370	-15.75542701	-47.87292204
371	-15.75316097	-47.872398
372	-15.75333397	-47.87430103
373	-15.75401098	-47.87191504
